article_title,url,country,article_quality,revision_id,region,population
Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,Stub,1176507815,SOUTH ASIA,42.4
Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,Stub,1123824802,SOUTH ASIA,42.4
Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,Stub,1225457074,SOUTH ASIA,42.4
Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,Stub,1225425205,SOUTH ASIA,42.4
Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,Stub,1227951669,SOUTH ASIA,42.4
Sayed Nasim Mihanparast,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,Afghanistan,Stub,1172646418,SOUTH ASIA,42.4
Suhail Shaheen,https://en.wikipedia.org/wiki/Suhail_Shaheen,Afghanistan,Start,1198363158,SOUTH ASIA,42.4
Fazal Hadi Shinwari,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,Afghanistan,GA,1242412237,SOUTH ASIA,42.4
Baktash Siawash,https://en.wikipedia.org/wiki/Baktash_Siawash,Afghanistan,Stub,1250972393,SOUTH ASIA,42.4
Hasan Ali Sultani,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Afghanistan,Stub,1136614726,SOUTH ASIA,42.4
Mohammad Hashem Taufiqui,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,Afghanistan,Start,1233490009,SOUTH ASIA,42.4
Pacha Gul Wafadar,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,Afghanistan,Stub,1227179979,SOUTH ASIA,42.4
Wahidullah Waissi,https://en.wikipedia.org/wiki/Wahidullah_Waissi,Afghanistan,C,1232389768,SOUTH ASIA,42.4
Ahmadullah Wasiq,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Afghanistan,Start,1171042170,SOUTH ASIA,42.4
Gul Ahmmad Yama,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Afghanistan,Start,1136614561,SOUTH ASIA,42.4
Abdul Salam Zaeef,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,Afghanistan,GA,1243758857,SOUTH ASIA,42.4
Abdul Zahir (Konar Education Minister),https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Afghanistan,Stub,1126667481,SOUTH ASIA,42.4
Mohammed Zaman,https://en.wikipedia.org/wiki/Mohammed_Zaman,Afghanistan,Start,1229734414,SOUTH ASIA,42.4
Ziauddin (Afghan militia leader),https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),Afghanistan,Start,1150044800,SOUTH ASIA,42.4
Qari Ziauddin,https://en.wikipedia.org/wiki/Qari_Ziauddin,Afghanistan,Start,1245217124,SOUTH ASIA,42.4
Abdul Ghafor Zori,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Afghanistan,Stub,1136614520,SOUTH ASIA,42.4
Ali Pasha of Gusinje,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,Albania,GA,1244421894,SOUTHERN EUROPE,2.7
Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,Start,1221605713,SOUTHERN EUROPE,2.7
Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,Stub,1192928746,SOUTHERN EUROPE,2.7
Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,C,1217284690,SOUTHERN EUROPE,2.7
Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,Start,1244463139,SOUTHERN EUROPE,2.7
Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,C,1250227174,SOUTHERN EUROPE,2.7
Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,C,1250227994,SOUTHERN EUROPE,2.7
Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,Start,1224650124,SOUTHERN EUROPE,2.7
Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,Albania,C,1189442848,SOUTHERN EUROPE,2.7
Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,Albania,Start,1196422551,SOUTHERN EUROPE,2.7
Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,Start,1222381064,SOUTHERN EUROPE,2.7
Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,Start,1184807608,SOUTHERN EUROPE,2.7
Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,Start,1198914812,SOUTHERN EUROPE,2.7
Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,Start,1248264998,SOUTHERN EUROPE,2.7
Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,Stub,1209346411,SOUTHERN EUROPE,2.7
Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,Start,1244008227,SOUTHERN EUROPE,2.7
Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,C,1222151681,SOUTHERN EUROPE,2.7
Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,Stub,1209165678,SOUTHERN EUROPE,2.7
Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,Stub,1180949327,SOUTHERN EUROPE,2.7
Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,C,1236738861,SOUTHERN EUROPE,2.7
Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,GA,1236738502,SOUTHERN EUROPE,2.7
Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,GA,1243882903,SOUTHERN EUROPE,2.7
Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,Start,1240801210,SOUTHERN EUROPE,2.7
Qamil Musa Haxhi Feza,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,Albania,Stub,1198224146,SOUTHERN EUROPE,2.7
Themistokli Gërmenji,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,Albania,C,1241037317,SOUTHERN EUROPE,2.7
Sabri Godo,https://en.wikipedia.org/wiki/Sabri_Godo,Albania,C,1230739582,SOUTHERN EUROPE,2.7
Mihal Grameno,https://en.wikipedia.org/wiki/Mihal_Grameno,Albania,C,1226635783,SOUTHERN EUROPE,2.7
Aćif Hadžiahmetović,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,Albania,GA,1229938943,SOUTHERN EUROPE,2.7
High Council of Regency,https://en.wikipedia.org/wiki/High_Council_of_Regency,Albania,C,1245450388,SOUTHERN EUROPE,2.7
Kurt Agë Kadiu,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,Albania,Stub,1244486529,SOUTHERN EUROPE,2.7
Mehmed Kalakula,https://en.wikipedia.org/wiki/Mehmed_Kalakula,Albania,Stub,1145510350,SOUTHERN EUROPE,2.7
Alfred Karamuço,https://en.wikipedia.org/wiki/Alfred_Karamuço,Albania,Stub,1098236555,SOUTHERN EUROPE,2.7
Ibrahim Karbunara,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,Albania,C,1235824719,SOUTHERN EUROPE,2.7
Ali Këlcyra,https://en.wikipedia.org/wiki/Ali_Këlcyra,Albania,Start,1227369252,SOUTHERN EUROPE,2.7
Bajram Kelmendi,https://en.wikipedia.org/wiki/Bajram_Kelmendi,Albania,Start,1237006808,SOUTHERN EUROPE,2.7
Kristo Kirka,https://en.wikipedia.org/wiki/Kristo_Kirka,Albania,C,1237950375,SOUTHERN EUROPE,2.7
Elez Koçi,https://en.wikipedia.org/wiki/Elez_Koçi,Albania,Start,1174010569,SOUTHERN EUROPE,2.7
Xhelal Koprëncka,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,Albania,Stub,1209148780,SOUTHERN EUROPE,2.7
Kryeziu family,https://en.wikipedia.org/wiki/Kryeziu_family,Albania,Start,1236739222,SOUTHERN EUROPE,2.7
Artur Kuko,https://en.wikipedia.org/wiki/Artur_Kuko,Albania,Stub,1112281132,SOUTHERN EUROPE,2.7
Xhavid Leskoviku,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,Albania,Start,1180950536,SOUTHERN EUROPE,2.7
Sabit Lulo,https://en.wikipedia.org/wiki/Sabit_Lulo,Albania,Stub,1180950488,SOUTHERN EUROPE,2.7
Gjon Markagjoni,https://en.wikipedia.org/wiki/Gjon_Markagjoni,Albania,C,1227760361,SOUTHERN EUROPE,2.7
Tefik Mborja,https://en.wikipedia.org/wiki/Tefik_Mborja,Albania,Start,1234673487,SOUTHERN EUROPE,2.7
Hysni Milloshi,https://en.wikipedia.org/wiki/Hysni_Milloshi,Albania,Start,1218412314,SOUTHERN EUROPE,2.7
Musa Qazimi,https://en.wikipedia.org/wiki/Musa_Qazimi,Albania,GA,1235824584,SOUTHERN EUROPE,2.7
Mustafa Ndroqi,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,Albania,Stub,1198219291,SOUTHERN EUROPE,2.7
